date, pm25, pm10, o3, no2, so2, co
05/12/18,286,411,14,9,13,26
06/12/18,349,319,13,8,14,17
07/12/18,305,309,16,7,15,16
08/12/18,311,312,19,6,14,19
09/12/18,314,546,23,6,14,22
10/12/18,425,544,20,6,13,28
11/12/18,421,370,9,7,12,22
12/12/18,349,118,9,10,10,11
13/12/18,183,165,8,17,9,12
14/12/18,220,148,10,24,8,11
15/12/18,206,206,20,32,10,12
16/12/18,253,258,17,30,10,15
17/12/18,274,294,23,28,11,15
18/12/18,290,374,21,34,13,17
19/12/18,338,474,20,34,12,25
20/12/18,383,391,22,39,10,18
21/12/18,366,554,22,52,13,20
22/12/18,460,785,21,59,13,34
23/12/18,581,630,26,44,11,35
24/12/18,506,364,15,34,9,17
25/12/18,386,416,17,33,9,19
26/12/18,394,520,10,38,10,32
27/12/18,413,342,13,33,9,14
28/12/18,364,425,15,46,12,18
29/12/18,387,565,15,45,13,28
30/12/18,450, , , , , 
31/12/18, ,508,13,47,12,20
01/01/19,414,641,9,49,12,29
02/01/19,480,604,10,39,9,27
03/01/19,496,354,6,30,7,16
04/01/19,352,454,11,38,10,19
05/01/19,378,204,9,30,8,15
06/01/19,261,211,8,29,8,13
07/01/19,271,168,11,23,7,16
08/01/19,240,156,14,23,7,11
09/01/19,224,222,12,27,9,13
10/01/19,242,438,11,39,10,22
11/01/19,378,497,14,39,9,27
12/01/19,417,407,10,34,9,25
13/01/19,391,139,14,21,7,9
14/01/19,176,175,10,28,8,10
15/01/19,222,475,8,45,13,19
16/01/19,381,418,10,36,11,20
17/01/19,384,289,4,32,8,24
18/01/19,289,385,6,43,13,19
19/01/19,317,664,8,65,14,37
20/01/19,478,378,11,41,11,23
21/01/19,311,75,3,24,8,10
22/01/19,156,178,4,27,8,13
23/01/19,247,197,5,25,8,13
24/01/19,230,108,17,24,11,9
25/01/19,174,114,28,21,10,9
26/01/19,180,149,20,21,11,10
27/01/19,221,201,21,23,11,11
28/01/19,263,167,21,25,12,12
29/01/19,220,293,24,27,19,18
30/01/19,307,359,19,29,16,23
31/01/19,316,218,15,28,14,13
01/02/19,289,242,7,26,8,15
02/02/19,286,169,14,28,10,12
03/02/19,236,241,26,47,14,19
04/02/19,270,564,21,66,17,37
05/02/19,415,301,17,44,9,19
06/02/19,313,126,12,23,7,9
07/02/19,174,119,18,27,7,10
08/02/19,168,139,21,24,8,11
09/02/19,182,201,22,34,10,13
10/02/19,243,264,30,42,10,17
11/02/19,265,328,35,43,10,18
12/02/19,308,314,40,56,9,27
13/02/19,300,211,15,39,9,16
14/02/19,259,154,13,34,9,12
15/02/19,225,134,10,25,7,11
16/02/19,191,134,27,31,8,12
17/02/19,192,199,21,32,9,13
18/02/19,226,186,30,43,10,15
19/02/19,225,187,6,45,10,14
20/02/19,214,202,19,37,10,17
21/02/19,180,143,13,27,5,10
22/02/19,169,104,22,27,4,8
23/02/19,150,118,30,35,6,9
24/02/19,176,135,23,38,6,10
25/02/19,170,135,11,33,7,9
26/02/19,172,77,8,24,5,6
27/02/19,151,151,1,37,6,17
28/02/19,182,96,24,21,5,6
01/03/19,136,141,4,41,7,15
02/03/19,205,117,16,35,6,10
03/03/19,172,127,15,32,6,9
04/03/19,181,112,17,27,5,8
05/03/19,161,136,17,32,7,8
06/03/19,177,165,32,32,7,11
07/03/19,192,143,28,32,8,12
08/03/19,166, ,24,27,9,13
09/03/19,152, ,27,30,9,8
10/03/19,173, ,35,31,9,11
11/03/19,162, ,26,24,7,8
12/03/19,135, ,22,32,13,11
13/03/19,171, ,14,29,11,11
14/03/19,191,118,20,28,9,9
