Date,Cumulative,Daily,pm25,pm10,o3,no2,so2,co
2/11/2020,33366,1638,113,34,23,15,5,11
2/10/2020,31728,2097,141,36,24,10,4,11
2/9/2020,29631,2531,109,45,25,20,5,10
2/8/2020,27100,2147,93,36,34,13,3,9
2/7/2020,24953,2841,81,28,23,10,3,8
2/6/2020,22112,2447,122,20,19,6,2,7
2/5/2020,19665,2987,184,47,22,10,4,12
2/4/2020,16678,3156,166,80,39,25,8,15
2/3/2020,13522,2345,166,67,46,26,6,10
2/2/2020,11177,4024,160,67,40,20,6,12
2/1/2020,7153,1347,164,61,31,23,4,9
1/31/2020,5806,903,168,63,40,23,6,11
1/30/2020,4903,1349,153,68,45,22,5,10
1/29/2020,3554,0,154,55,42,20,4,8
1/28/2020,3554,2131,154,54,35,15,4,7
1/27/2020,1423,365,137,55,33,9,2,7
1/26/2020,1058,297,104,45,28,6,2,8
1/25/2020,761,212,131,32,30,6,3,5
1/24/2020,549,105,116,46,23,7,2,7
1/23/2020,444,0,174,39,28,7,2,5
1/22/2020,444,444,173,71,21,12,3,12
1/21/2020,0,0,176,73,21,17,3,11
1/20/2020,0,0,186,79,23,26,4,13
1/19/2020,0,0,184,95,25,44,5,18
1/18/2020,0,0,158,85,32,27,4,11
1/17/2020,0,0,142,61,26,29,5,13
1/16/2020,0,0,159,46,19,19,3,8
1/15/2020,0,0,177,54,18,15,2,9
1/14/2020,0,0,187,77,28,22,5,14
1/13/2020,0,0,145,89,32,22,5,13
1/12/2020,0,0,163,58,24,27,4,11
1/11/2020,0,0,119,70,15,33,4,15
1/10/2020,0,0,105,39,14,19,2,7
1/9/2020,0,0,71,31,14,16,2,8
1/8/2020,0,0,129,22,19,18,3,8
1/7/2020,0,0,71,49,21,20,5,12
1/6/2020,0,0,70,23,19,20,2,13
1/5/2020,0,0,165,29,5,21,3,14
1/4/2020,0,0,194,82,2,22,4,14
1/3/2020,0,0,182,104,3,27,3,13
1/2/2020,0,0,165,86,5,25,3,9
1/1/2020,0,0,136,81,4,24,4,11
