date,pm25,pm10,o3,no2,so2
8/3/2018,100,58,60,15,2
8/4/2018,90,53,67,16,2
8/5/2018,84,60,60,28,2
8/6/2018,97,73,45,26,2
8/7/2018,108,56,49,22,2
8/8/2018,80,37,51,19,1
8/9/2018,65,34,47,15,1
8/10/2018,63,44,60,18,1
8/11/2018,79,48,50,22,2
8/12/2018,82,39,41,20,2
8/13/2018,74,29,56,17,2
8/14/2018,63,30,49,15,3
8/15/2018,64,41,45,19,4
8/16/2018,78,32,60,16,4
8/17/2018,66,24,52,9,4
8/18/2018,59,29,50,16,5
8/19/2018,68,36,55,21,5
8/20/2018,70,35,60,28,2
8/21/2018,68,37,60,25,2
8/22/2018,74,42,62,32,2
8/23/2018,80,41,56,22,2
8/24/2018,85,34,53,14,1
8/25/2018,77,33,51,16,1
8/26/2018,71,41,61,36,2
8/27/2018,81,55,45,33,2
8/28/2018,99,54,50,32,2
8/29/2018,92,56,56,25,2
8/30/2018,94,52,60,25,2
8/31/2018,103,45,59,20,2
9/1/2018,97,57,52,22,2
9/2/2018,111,63,51,27,2
9/3/2018,124,62,52,28,2
9/4/2018,119,58,42,25,2
9/5/2018,106,56,50,26,2
9/6/2018,148,41,48,21,1
9/7/2018,89,23,34,22,1
9/8/2018,59,23,46,25,2
9/9/2018,61,19,43,21,1
9/10/2018,53,22,44,23,1
9/11/2018,58,28,50,30,2
9/12/2018,59,32,59,41,2
9/13/2018,69,28,59,32,2
9/14/2018,59,28,46,20,1
9/15/2018,57,23,48,19,2
9/16/2018,46,31,41,29,2
9/17/2018,55,31,38,31,2
9/18/2018,58,33,53,38,2
9/19/2018,66,39,51,42,2
9/20/2018,69,35,52,39,2
9/21/2018,62,34,51,31,2
9/22/2018,65,33,57,32,2
9/23/2018,65,22,38,22,2
9/24/2018,47,31,45,32,2
9/25/2018,52,33,33,19,2
9/26/2018,54,36,41,35,2
9/27/2018,59,37,44,40,3
9/28/2018,61,35,48,35,2
9/29/2018,66,32,46,32,3
9/30/2018,67,22,37,23,2
10/1/2018,47,25,31,30,2
10/2/2018,40,32,28,34,3
10/3/2018,44,35,33,42,3
10/4/2018,52,39,41,45,3
10/5/2018,67,39,46,41,2
10/6/2018,69,24,35,12,2
10/7/2018,41,21,29,24,3
10/8/2018,29,48,32,23,3
10/9/2018,35,29,27,28,3
10/10/2018,48,28,20,28,2
10/11/2018,64,20,23,20,3
10/12/2018,56,25,31,34,3
10/13/2018,64,18,31,15,2
10/14/2018,50,18,26,25,3
10/15/2018,44,25,26,32,4
10/16/2018,55,24,32,32,4
10/17/2018,54,21,29,32,4
10/18/2018,52,14,23,23,4
10/19/2018,40,17,28,20,3
10/20/2018,39,28,27,21,3
10/21/2018,53,61,28,36,4
10/22/2018,68,47,32,35,4
10/23/2018,67,50,23,52,4
10/24/2018,82,47,29,48,4
10/25/2018,77,43,11,47,4
10/26/2018,80,26,23,23,4
10/27/2018,63,16,29,15,4
10/28/2018,50,17,30,23,4
10/29/2018,54,24,24,21,3
10/30/2018,68,21,23,25,4
10/31/2018,65,22,26,26,4
11/1/2018,60,15,25,25,4
11/2/2018,45,20,24,33,5
11/3/2018,52,27,23,27,5
11/4/2018,66,15,29,24,4
11/5/2018,49,15,28,22,4
11/6/2018,37,16,26,28,5
11/7/2018,43,21,20,31,5
11/8/2018,57,14,31,17,4
11/9/2018,38,11,27,16,4
11/10/2018,31,14,65,17,3
11/11/2018,40,19,27,33,4
11/12/2018,49,26,13,30,4
11/13/2018,56,36,18,30,4
11/14/2018,62,28,24,28,3
11/15/2018,58,25,14,27,4
11/16/2018,57,21,23,22,4
11/17/2018,53,19,23,22,4
11/18/2018,50,14,26,24,4
11/19/2018,39,13,27,23,3
11/20/2018,39,15,29,25,3
11/21/2018,41,20,20,28,4
11/22/2018,53,17,28,25,4
11/23/2018,44,26,13,30,5
11/24/2018,66,18,25,20,4
11/25/2018,52,13,32,23,4
11/26/2018,32,23,24,33,4
11/27/2018,50,45,7,44,6
11/28/2018,86,46,7,37,5
11/29/2018,91,31,66,34,5
11/30/2018,69,28,147,34,4
12/1/2018,64,35,73,29,4
12/2/2018,82,42,8,31,5
12/3/2018,99,53,5,48,7
12/4/2018,105,55,6,44,7
12/5/2018,108,49,11,35,6
12/6/2018,103,39,14,30,4
12/7/2018,88,29,26,30,4
12/8/2018,74,44,7,46,6
12/9/2018,107,55,4,62,8
12/10/2018,110,46,7,42,6
12/11/2018,85,40,11,32,5
12/12/2018,88,25,31,27,4
12/13/2018,65,15,29,32,4
12/14/2018,38,23,19,30,4
12/15/2018,57,17,28,18,3
12/16/2018,43,25,27,37,4
12/17/2018,49,35,9,35,6
12/18/2018,68,28,19,30,4
12/19/2018,64,23,17,27,5
12/20/2018,54,24,19,30,4
12/21/2018,61,29,11,27,4
12/22/2018,77,30,8,23,5
12/23/2018,80,43,7,44,7
12/24/2018,99,36,9,40,5
12/25/2018,80,34,7,43,6
12/26/2018,73,49,4,44,7
12/27/2018,101,46,14,37,6
12/28/2018,99,26,21,25,6
12/29/2018,62,21,18,30,6
12/30/2018,51,,,,
12/31/2018,,39,14,44,10
1/1/2019,95,41,151,47,9
1/2/2019,85,29,17,37,7
1/3/2019,63,40,8,44,8
1/4/2019,79,39,6,45,7
1/5/2019,82,44,7,53,11
1/6/2019,102,33,9,50,9
1/7/2019,71,39,11,47,8
1/8/2019,70,29,10,41,8
1/9/2019,59,15,23,29,5
1/10/2019,40,26,19,42,6
1/11/2019,57,28,19,37,6
1/12/2019,64,33,12,39,5
1/13/2019,76,58,4,68,5
1/14/2019,122,56,13,47,5
1/15/2019,102,44,18,32,4
1/16/2019,86,46,12,34,4
1/17/2019,110,39,11,25,5
1/18/2019,83,26,10,22,4
1/19/2019,67,17,21,15,5
1/20/2019,54,14,17,24,5
1/21/2019,38,18,25,35,4
1/22/2019,49,14,25,18,4
1/23/2019,31,15,25,29,3
1/24/2019,34,16,19,35,5
1/25/2019,36,19,25,33,4
1/26/2019,46,12,27,15,3
1/27/2019,38,13,33,23,4
1/28/2019,27,16,29,23,5
1/29/2019,35,17,29,22,5
1/30/2019,33,14,21,17,4
1/31/2019,28,12,30,20,3
2/1/2019,27,9,32,15,4
2/2/2019,25,10,28,17,5
2/3/2019,28,29,9,45,4
2/4/2019,66,44,11,52,7
2/5/2019,84,33,11,39,6
2/6/2019,69,41,8,46,7
2/7/2019,83,34,18,37,7
2/8/2019,72,29,17,31,5
2/9/2019,72,19,20,17,5
2/10/2019,52,15,26,27,5
2/11/2019,32,19,26,30,7
2/12/2019,41,31,23,40,6
2/13/2019,62,32,21,38,7
2/14/2019,62,39,16,45,7
2/15/2019,75,35,33,27,5
2/16/2019,66,22,34,25,5
2/17/2019,47,29,21,32,5
2/18/2019,55,40,25,36,5
2/19/2019,65,47,29,41,4
2/20/2019,69,51,31,41,5
2/21/2019,72,48,28,48,6
2/22/2019,68,44,24,45,6
2/23/2019,67,41,40,30,5
2/24/2019,66,41,31,50,6
2/25/2019,68,46,32,41,5
2/26/2019,72,31,33,44,5
2/27/2019,52,32,24,50,6
2/28/2019,55,32,38,37,4
3/1/2019,60,28,36,34,4
3/2/2019,60,30,36,30,4
3/3/2019,55,31,33,20,4
3/4/2019,39,23,34,20,3
3/5/2019,29,19,31,22,3
3/6/2019,30,12,35,24,4
3/7/2019,23,18,29,30,4
3/8/2019,46,20,34,28,4
3/9/2019,57,27,27,27,4
3/10/2019,69,19,30,26,4
3/11/2019,57,22,34,32,4
3/12/2019,60,26,37,22,5
3/13/2019,72,28,32,30,4
3/14/2019,79,33,27,45,5
3/15/2019,77,40,37,33,4
3/16/2019,89,36,34,24,4
3/17/2019,81,32,35,19,5
3/18/2019,80,15,38,21,6
3/19/2019,48,13,37,24,5
3/20/2019,47,14,37,29,4
3/21/2019,43,20,40,33,4
3/22/2019,50,27,38,22,4
3/23/2019,68,22,38,19,4
3/24/2019,59,20,40,25,4
3/25/2019,53,19,41,21,4
3/26/2019,56,19,32,33,4
3/27/2019,51,21,41,32,4
3/28/2019,49,25,44,28,4
3/29/2019,47,29,47,20,4
3/30/2019,43,27,33,19,4
3/31/2019,49,14,30,26,4
4/1/2019,35,18,35,30,4
4/2/2019,41,20,41,25,4
4/3/2019,47,14,43,26,4
4/4/2019,30,13,37,25,2
4/5/2019,27,10,38,17,4
4/6/2019,25,9,40,16,2
4/7/2019,21,10,41,25,4
4/8/2019,30,11,37,26,4
4/9/2019,28,11,37,25,5
4/10/2019,23,11,40,25,5
4/11/2019,25,13,46,30,4
4/12/2019,29,18,52,31,4
4/13/2019,47,19,36,19,4
4/14/2019,49,22,39,25,4
4/15/2019,51,18,44,26,4
4/16/2019,33,20,39,20,4
4/17/2019,41,20,43,15,4
4/18/2019,40,7,34,15,4
4/19/2019,22,12,47,10,4
4/20/2019,36,13,43,7,4
4/21/2019,33,15,41,22,4
4/22/2019,42,12,42,23,4
4/23/2019,34,8,32,22,4
4/24/2019,17,8,36,12,4
4/25/2019,18,11,40,22,4
4/26/2019,23,14,38,28,4
4/27/2019,35,15,43,19,4
4/28/2019,42,13,40,25,4
4/29/2019,31,15,41,25,4
4/30/2019,34,14,29,10,4
5/1/2019,33,12,50,12,4
5/2/2019,29,12,36,16,2
5/3/2019,31,10,43,11,4
5/4/2019,23,9,43,11,4
5/5/2019,23,13,46,31,4
5/6/2019,28,21,36,23,4
5/7/2019,43,15,32,17,4
5/8/2019,27,15,34,21,4
5/9/2019,27,13,24,18,4
5/10/2019,25,15,44,18,4
5/11/2019,32,12,43,12,4
5/12/2019,27,11,41,24,4
5/13/2019,25,15,59,28,4
5/14/2019,31,25,44,30,4
5/15/2019,46,19,45,25,4
5/16/2019,41,21,41,19,3
5/17/2019,38,10,37,10,4
5/18/2019,19,8,43,12,3
5/19/2019,19,8,38,19,4
5/20/2019,20,15,47,25,4
5/21/2019,32,15,52,26,4
5/22/2019,38,24,46,36,4
5/23/2019,51,21,38,17,4
5/24/2019,44,11,36,9,4
5/25/2019,27,9,35,9,4
5/26/2019,24,11,37,21,4
5/27/2019,30,13,41,15,4
5/28/2019,28,12,33,15,4
5/29/2019,31,11,37,21,4
5/30/2019,26,17,52,28,4
5/31/2019,32,23,55,23,5
6/1/2019,52,23,56,19,4
6/2/2019,51,23,51,34,4
6/3/2019,55,26,38,24,4
6/4/2019,50,19,36,17,4
6/5/2019,35,16,42,21,3
6/6/2019,30,17,39,18,5
6/7/2019,31,13,46,15,4
6/8/2019,26,25,41,11,4
6/9/2019,44,18,42,16,4
6/10/2019,34,13,37,12,4
6/11/2019,28,9,44,19,4
6/12/2019,18,17,47,20,4
6/13/2019,37,23,40,21,4
6/14/2019,49,18,44,13,4
6/15/2019,35,20,46,19,4
6/16/2019,39,26,47,27,5
6/17/2019,55,25,44,24,4
6/18/2019,56,25,29,13,4
6/19/2019,39,22,33,21,4
6/20/2019,35,21,39,16,4
6/21/2019,39,20,43,15,4
6/22/2019,40,28,43,21,4
6/23/2019,57,29,37,18,4
6/24/2019,60,31,40,20,4
6/25/2019,54,38,42,19,4
6/26/2019,64,50,39,18,5
6/27/2019,81,47,44,22,5
6/28/2019,81,28,62,19,5
6/29/2019,67,33,50,18,5
6/30/2019,72,37,46,21,5
7/1/2019,71,39,58,19,5
7/2/2019,64,35,50,16,5
7/3/2019,62,33,46,14,4
7/4/2019,61,38,45,20,4
7/5/2019,63,31,42,17,5
7/6/2019,51,23,45,16,4
7/7/2019,46,23,42,14,4
7/8/2019,45,22,52,16,4
7/9/2019,57,17,61,18,4
7/10/2019,39,27,66,33,4
7/11/2019,53,32,46,23,2
7/12/2019,59,48,43,19,
7/13/2019,68,40,33,8,2
7/14/2019,64,22,47,21,4
7/15/2019,53,24,53,22,4
7/16/2019,46,33,51,18,4
7/17/2019,56,29,70,17,5
7/18/2019,56,25,57,14,5
7/19/2019,50,27,59,8,5
7/20/2019,50,33,51,6,5
7/21/2019,53,36,42,12,5
7/22/2019,52,37,45,12,5
7/23/2019,53,40,54,18,5
7/24/2019,57,35,39,24,5
7/25/2019,59,27,30,16,4
7/26/2019,51,16,29,9,4
7/27/2019,37,11,36,8,3
7/28/2019,26,15,33,17,2
7/29/2019,35,14,41,11,
7/30/2019,33,25,42,10,
7/31/2019,52,40,42,12,2
8/1/2019,67,27,55,17,2
8/2/2019,58,24,52,15,2
8/3/2019,55,29,47,13,2
8/4/2019,65,25,44,20,2
8/5/2019,56,23,43,16,2
8/6/2019,42,19,28,11,4
8/7/2019,32,15,30,11,4
8/8/2019,29,21,16,7,3
8/9/2019,35,21,40,8,3
8/10/2019,29,18,42,8,3
8/11/2019,39,21,39,10,3
8/12/2019,47,16,41,11,3
8/13/2019,41,17,51,17,2
8/14/2019,47,19,45,18,2
8/15/2019,61,18,43,13,2
8/16/2019,58,19,43,21,2
8/17/2019,66,23,42,19,2
8/18/2019,66,21,33,16,2
8/19/2019,55,16,35,10,2
8/20/2019,52,16,41,11,2
8/21/2019,50,19,46,23,3
8/22/2019,60,20,56,24,2
8/23/2019,62,21,61,24,2
8/24/2019,62,21,44,9,2
8/25/2019,59,18,34,14,3
8/26/2019,54,18,47,17,2
8/27/2019,51,21,58,30,2
8/28/2019,58,25,60,32,2
8/29/2019,65,25,55,23,2
8/30/2019,61,25,55,32,2
8/31/2019,65,26,44,28,2
9/1/2019,68,23,45,17,2
9/2/2019,62,21,46,21,2
9/3/2019,55,21,55,25,2
9/4/2019,55,19,32,11,2
9/5/2019,51,14,35,14,2
9/6/2019,41,14,43,14,2
9/7/2019,37,17,44,13,2
9/8/2019,49,21,40,22,2
9/9/2019,56,27,27,11,2
9/10/2019,47,13,37,12,2
9/11/2019,37,18,36,22,2
9/12/2019,47,20,32,19,2
9/13/2019,53,20,27,14,4
9/14/2019,61,23,27,16,1
9/15/2019,65,24,33,27,1
9/16/2019,62,28,46,26,2
9/17/2019,73,25,38,29,2
9/18/2019,68,26,43,31,2
9/19/2019,69,30,34,19,2
9/20/2019,75,27,28,18,3
9/21/2019,71,22,29,12,2
9/22/2019,62,15,30,26,2
9/23/2019,47,22,31,28,2
9/24/2019,60,19,28,22,2
9/25/2019,56,17,34,29,2
9/26/2019,50,25,39,37,3
9/27/2019,65,19,34,32,3
9/28/2019,53,24,31,27,2
9/29/2019,57,22,36,40,3
9/30/2019,55,29,30,36,3
10/1/2019,58,20,34,17,2
10/2/2019,51,17,24,33,3
10/3/2019,46,24,29,38,3
10/4/2019,49,24,36,26,3
10/5/2019,45,21,35,27,2
10/6/2019,38,22,22,41,3
10/7/2019,42,25,28,38,3
10/8/2019,42,31,29,33,3
10/9/2019,53,27,30,35,3
10/10/2019,44,33,28,30,2
10/11/2019,58,30,25,15,2
10/12/2019,51,26,30,21,2
10/13/2019,48,26,28,19,2
10/14/2019,53,11,23,17,2
10/15/2019,21,12,28,25,2
10/16/2019,25,16,20,27,2
10/17/2019,37,15,16,19,2
10/18/2019,41,13,25,13,2
10/19/2019,33,8,24,12,4
10/20/2019,22,8,21,26,2
10/21/2019,25,10,18,23,2
10/22/2019,26,9,20,20,2
10/23/2019,26,11,27,23,2
10/24/2019,24,21,16,37,3
10/25/2019,52,31,20,35,3
10/26/2019,71,23,21,32,3
10/27/2019,59,25,25,32,3
10/28/2019,61,34,9,34,2
10/29/2019,79,45,19,29,2
10/30/2019,99,21,21,21,2
10/31/2019,53,18,14,13,2
11/1/2019,50,19,23,10,2
11/2/2019,46,11,33,10,2
11/3/2019,26,12,26,13,2
11/4/2019,20,9,25,19,3
11/5/2019,19,9,23,20,2
11/6/2019,19,10,27,18,4
11/7/2019,22,6,26,13,3
11/8/2019,16,8,25,14,2
11/9/2019,17,7,26,15,2
11/10/2019,18,10,19,26,3
11/11/2019,28,14,25,28,3
11/12/2019,33,11,22,16,3
11/13/2019,25,8,17,13,5
11/14/2019,21,6,22,15,3
11/15/2019,14,9,26,20,3
11/16/2019,21,11,23,16,2
11/17/2019,31,9,21,26,3
11/18/2019,30,19,13,37,4
11/19/2019,47,20,8,30,3
11/20/2019,55,22,6,28,5
11/21/2019,66,12,20,24,2
11/22/2019,38,11,32,17,2
11/23/2019,34,10,29,15,2
11/24/2019,29,15,21,18,2
11/25/2019,40,16,18,20,2
11/26/2019,39,14,24,17,2
11/27/2019,34,20,22,20,2
11/28/2019,49,17,21,19,2
11/29/2019,45,15,23,15,2
11/30/2019,42,13,17,19,6
12/1/2019,41,10,23,17,3
12/2/2019,29,10,21,20,3
12/3/2019,31,12,18,22,3
12/4/2019,36,11,20,21,3
12/5/2019,32,13,19,20,3
12/6/2019,40,26,9,27,3
12/7/2019,72,31,3,26,2
12/8/2019,84,25,13,23,2
12/9/2019,72,39,3,33,3
12/10/2019,95,27,24,26,3
12/11/2019,68,15,24,20,2
12/12/2019,43,13,27,20,3
12/13/2019,38,9,23,15,3
12/14/2019,39,13,23,17,2
12/15/2019,49,18,18,20,3
12/16/2019,55,19,19,21,2
12/17/2019,60,22,18,27,3
12/18/2019,63,18,18,21,3
12/19/2019,57,12,25,17,2
12/20/2019,43,14,28,10,3
12/21/2019,50,22,28,11,2
12/22/2019,56,21,27,28,3
12/23/2019,55,31,7,33,5
12/24/2019,83,24,10,27,4
12/25/2019,74,27,9,30,4
12/26/2019,74,21,12,40,6
12/27/2019,55,33,7,50,6
12/28/2019,83,28,10,39,5
12/29/2019,75,,,,
12/31/2019,,44,6,35,4
1/1/2020,115,36,5,35,9
1/2/2020,91,50,1,39,8
1/3/2020,126,15,20,21,3
1/4/2020,50,19,12,29,5
1/5/2020,55,29,9,34,5
1/6/2020,80,44,4,50,7
1/7/2020,102,51,6,62,8
1/8/2020,104,41,9,49,5
1/9/2020,88,23,30,28,3
1/10/2020,67,14,21,28,3
1/11/2020,46,35,10,39,4
1/12/2020,88,38,11,44,5
1/13/2020,96,39,17,39,3
1/14/2020,95,36,4,41,3
1/15/2020,92,41,15,36,3
1/16/2020,87,20,26,25,2
1/17/2020,50,15,17,27,2
1/18/2020,57,19,27,16,3
1/19/2020,55,13,26,18,2
1/20/2020,42,10,24,17,2
1/21/2020,32,23,24,24,3
1/22/2020,51,52,20,25,3
1/23/2020,81,37,17,24,2
1/24/2020,65,24,18,21,2
1/25/2020,68,19,21,21,2
1/26/2020,62,21,21,25,2
1/27/2020,59,14,22,17,2
1/28/2020,37,16,21,17,2
1/29/2020,43,16,24,20,2
1/30/2020,46,14,23,19,2
1/31/2020,43,13,20,14,1
2/1/2020,41,19,11,19,1
2/2/2020,59,42,10,26,6
2/3/2020,81,50,9,33,9
2/4/2020,94,14,24,31,4
2/5/2020,34,27,15,32,3
2/6/2020,63,31,16,30,2
2/7/2020,71,37,18,28,2
2/8/2020,87,26,18,23,2
2/9/2020,71,27,13,29,2
2/10/2020,71,39,3,27,3
2/11/2020,99,38,2,25,2
2/12/2020,95,28,16,22,2
2/13/2020,78,30,9,26,2
2/14/2020,79,34,20,26,2
2/15/2020,80,28,24,24,2
2/16/2020,73,21,14,23,2
2/17/2020,57,17,19,25,3
2/18/2020,44,21,26,29,3
2/19/2020,43,33,13,41,4
2/20/2020,67,30,23,41,4
2/21/2020,59,34,23,43,4
2/22/2020,68,30,30,34,3
2/23/2020,56,33,27,39,3
2/24/2020,62,31,27,36,3
2/25/2020,62,15,30,19,1
2/26/2020,30,65,27,22,2
2/27/2020,72,65,24,32,3
2/28/2020,88,47,26,18,2
2/29/2020,64,28,27,10,2
3/1/2020,29,26,30,13,2
3/2/2020,25,17,21,21,1
3/3/2020,47,14,24,17,2
3/4/2020,38,15,33,17,2
3/5/2020,38,9,32,17,2
3/6/2020,23,13,31,21,2
3/7/2020,32,16,25,22,3
3/8/2020,48,14,30,24,3
3/9/2020,37,13,26,17,3
3/10/2020,36,32,20,28,3
3/11/2020,59,36,21,34,3
3/12/2020,64,29,31,26,2
3/13/2020,64,21,38,13,2
3/14/2020,60,20,32,11,2
3/15/2020,56,10,25,12,2
3/16/2020,39,12,30,13,2
3/17/2020,46,26,22,17,3
3/18/2020,59,27,33,14,
3/19/2020,57,35,28,9,1
3/20/2020,56,16,27,9,1
3/21/2020,43,9,29,6,2
3/22/2020,29,9,27,13,1
3/23/2020,33,13,27,9,1
3/24/2020,36,17,31,10,1
3/25/2020,48,14,35,15,2
3/26/2020,43,13,34,10,1
3/27/2020,46,10,37,10,2
3/28/2020,39,13,38,14,3
3/29/2020,47,12,28,8,2
3/30/2020,41,8,25,13,1
3/31/2020,32,10,30,13,2
4/1/2020,37,10,29,14,2
4/2/2020,35,11,36,12,2
4/3/2020,39,11,34,10,2
4/4/2020,42,14,34,5,2
4/5/2020,45,17,26,8,1
4/6/2020,56,26,24,13,1
4/7/2020,81,19,30,12,
4/8/2020,61,18,29,9,1
4/9/2020,55,16,22,6,1
4/10/2020,58,15,29,5,3
4/11/2020,53,18,38,4,3
4/12/2020,58,18,35,8,2
4/13/2020,62,15,27,11,2
4/14/2020,54,12,30,9,2
4/15/2020,45,16,27,9,1
4/16/2020,52,14,30,10,1
4/17/2020,46,14,38,10,2
4/18/2020,47,14,38,5,2
4/19/2020,52,14,29,9,2
4/20/2020,47,10,31,6,2
4/21/2020,30,12,34,11,2
4/22/2020,37,17,31,8,2
4/23/2020,53,16,34,8,1
4/24/2020,53,16,39,4,1
4/25/2020,55,19,33,4,1
4/26/2020,56,14,34,6,2
4/27/2020,43,12,31,7,3
4/28/2020,39,12,30,10,2
4/29/2020,37,15,31,6,2
4/30/2020,47,20,27,3,3
5/1/2020,63,21,25,5,2
5/2/2020,68,20,33,7,1
5/3/2020,65,27,32,4,1
5/4/2020,68,9,37,7,2
5/5/2020,29,14,47,13,3
5/6/2020,42,23,35,11,2
5/7/2020,55,17,42,8,1
5/8/2020,41,27,38,5,2
5/9/2020,71,11,31,2,2
5/10/2020,35,15,30,7,1
5/11/2020,46,18,32,9,1
5/12/2020,56,22,35,9,1
5/13/2020,71,12,27,9,1
5/14/2020,41,,,,
