date,pm25,pm10,o3,no2,so2
1/12/2015,37,29,15,40,6
1/13/2015,59,36,8,42,6
1/14/2015,77,22,18,34,4
1/15/2015,56,14,31,30,4
1/16/2015,41,23,30,29,4
1/17/2015,41,16,15,24,3
1/18/2015,45,13,31,26,6
1/19/2015,29,25,21,43,5
1/20/2015,55,18,26,35,4
1/21/2015,49,18,31,31,5
1/22/2015,37,24,25,41,7
1/23/2015,57,24,23,39,7
1/24/2015,61,13,30,30,7
1/25/2015,39,28,15,49,8
1/26/2015,64,23,22,40,7
1/27/2015,61,32,17,48,7
1/28/2015,73,25,25,37,5
1/29/2015,56,13,26,20,3
1/30/2015,30,9,34,19,3
1/31/2015,21,8,33,16,3
2/1/2015,23,12,29,26,3
2/2/2015,35,10,31,27,3
2/3/2015,25,10,33,24,5
2/4/2015,29,12,33,21,6
2/5/2015,33,12,31,27,6
2/6/2015,31,16,16,29,6
2/7/2015,49,17,26,23,7
2/8/2015,54,17,29,24,5
2/9/2015,52,20,27,28,5
2/10/2015,56,24,20,32,6
2/11/2015,55,32,20,32,6
2/12/2015,63,34,31,33,4
2/13/2015,77,18,29,19,3
2/14/2015,46,11,26,18,4
2/15/2015,35,15,26,22,4
2/16/2015,39,12,31,18,5
2/17/2015,28,12,27,21,6
2/18/2015,37,24,26,31,5
2/19/2015,59,37,28,40,5
2/20/2015,85,14,34,17,4
2/21/2015,44,14,32,26,4
2/22/2015,39,16,26,21,4
2/23/2015,40,12,32,19,3
2/24/2015,30,15,31,24,4
2/25/2015,33,19,24,28,5
2/26/2015,46,15,31,28,6
2/27/2015,38,18,25,29,5
2/28/2015,44,15,25,19,4
3/1/2015,37,23,17,21,4
3/2/2015,56,35,13,26,4
3/3/2015,80,24,32,27,6
3/4/2015,57,13,31,27,6
3/5/2015,33,24,26,37,5
3/6/2015,46,40,23,46,8
3/7/2015,71,32,30,38,7
3/8/2015,62,30,28,48,7
3/9/2015,54,37,28,48,5
3/10/2015,62,44,31,52,6
3/11/2015,80,45,30,50,6
3/12/2015,92,35,29,30,6
3/13/2015,70,13,36,17,5
3/14/2015,26,19,34,19,5
3/15/2015,52,27,30,30,5
3/16/2015,64,33,32,28,5
3/17/2015,74,16,36,26,4
3/18/2015,52,14,28,17,4
3/19/2015,37,21,30,19,4
3/20/2015,55,13,28,18,4
3/21/2015,44,11,28,17,5
3/22/2015,33,12,19,28,5
3/23/2015,42,10,30,21,5
3/24/2015,34,8,34,16,5
3/25/2015,20,15,29,25,4
3/26/2015,36,14,22,22,5
3/27/2015,36,25,28,27,5
3/28/2015,61,16,34,18,4
3/29/2015,38,24,37,30,4
3/30/2015,54,31,35,37,5
3/31/2015,59,17,35,21,3
4/1/2015,41,16,36,14,3
4/2/2015,31,17,32,14,3
4/3/2015,28,20,39,13,3
4/4/2015,31,13,40,13,3
4/5/2015,24,20,35,18,3
4/6/2015,41,24,38,16,3
4/7/2015,52,19,42,16,3
4/8/2015,40,17,38,24,3
4/9/2015,45,26,30,25,4
4/10/2015,64,24,39,21,3
